timestamp_saved,dataFechaActualizado,Index,Desc,value
07/25/2023 04:12 AM,7/25/2023 12:05:30 AM,6,Próxima Hora MW,2613
07/25/2023 04:12 AM,7/25/2023 12:05:30 AM,7,Máxima para Hoy,2616
07/25/2023 04:12 AM,7/25/2023 12:05:30 AM,8,Máxima Mensual,3004
07/25/2023 04:24 AM,7/25/2023 12:15:30 AM,0,Total de Generación,2582
07/25/2023 04:24 AM,7/25/2023 12:15:30 AM,1,PREPA,63
07/25/2023 04:24 AM,7/25/2023 12:15:30 AM,2,COGEN,37
07/25/2023 04:24 AM,7/25/2023 12:15:30 AM,3,Reserva en Rotación,242
07/25/2023 04:24 AM,7/25/2023 12:15:30 AM,4,Reserva Operacional,254
07/25/2023 04:24 AM,7/25/2023 12:15:30 AM,5,Capacidad Disponible,2826
07/25/2023 04:24 AM,7/25/2023 12:15:30 AM,6,Próxima Hora MW,2385
07/25/2023 04:24 AM,7/25/2023 12:15:30 AM,7,Máxima para Hoy,2616
07/25/2023 04:24 AM,7/25/2023 12:15:30 AM,8,Máxima Mensual,3004
07/25/2023 04:33 AM,7/25/2023 12:25:30 AM,0,Total de Generación,2565
07/25/2023 04:33 AM,7/25/2023 12:25:30 AM,1,PREPA,63
07/25/2023 04:33 AM,7/25/2023 12:25:30 AM,2,COGEN,37
07/25/2023 04:33 AM,7/25/2023 12:25:30 AM,3,Reserva en Rotación,259
07/25/2023 04:33 AM,7/25/2023 12:25:30 AM,4,Reserva Operacional,274
07/25/2023 04:33 AM,7/25/2023 12:25:30 AM,5,Capacidad Disponible,2825
07/25/2023 04:33 AM,7/25/2023 12:25:30 AM,6,Próxima Hora MW,2384
07/25/2023 04:33 AM,7/25/2023 12:25:30 AM,7,Máxima para Hoy,2616
07/25/2023 04:33 AM,7/25/2023 12:25:30 AM,8,Máxima Mensual,3004
07/25/2023 04:40 AM,7/25/2023 12:35:30 AM,0,Total de Generación,2546
07/25/2023 04:40 AM,7/25/2023 12:35:30 AM,1,PREPA,62
07/25/2023 04:40 AM,7/25/2023 12:35:30 AM,2,COGEN,38
07/25/2023 04:40 AM,7/25/2023 12:35:30 AM,3,Reserva en Rotación,281
07/25/2023 04:40 AM,7/25/2023 12:35:30 AM,4,Reserva Operacional,295
07/25/2023 04:40 AM,7/25/2023 12:35:30 AM,5,Capacidad Disponible,2826
07/25/2023 04:40 AM,7/25/2023 12:35:30 AM,6,Próxima Hora MW,2384
07/25/2023 04:40 AM,7/25/2023 12:35:30 AM,7,Máxima para Hoy,2616
07/25/2023 04:40 AM,7/25/2023 12:35:30 AM,8,Máxima Mensual,3004
07/25/2023 04:48 AM,7/25/2023 12:40:30 AM,0,Total de Generación,2561
07/25/2023 04:48 AM,7/25/2023 12:40:30 AM,1,PREPA,61
07/25/2023 04:48 AM,7/25/2023 12:40:30 AM,2,COGEN,39
07/25/2023 04:48 AM,7/25/2023 12:40:30 AM,3,Reserva en Rotación,273
07/25/2023 04:48 AM,7/25/2023 12:40:30 AM,4,Reserva Operacional,282
07/25/2023 04:48 AM,7/25/2023 12:40:30 AM,5,Capacidad Disponible,2825
07/25/2023 04:48 AM,7/25/2023 12:40:30 AM,6,Próxima Hora MW,2384
07/25/2023 04:48 AM,7/25/2023 12:40:30 AM,7,Máxima para Hoy,2616
07/25/2023 04:48 AM,7/25/2023 12:40:30 AM,8,Máxima Mensual,3004
07/25/2023 04:55 AM,7/25/2023 12:50:30 AM,0,Total de Generación,2519
07/25/2023 04:55 AM,7/25/2023 12:50:30 AM,1,PREPA,62
07/25/2023 04:55 AM,7/25/2023 12:50:30 AM,2,COGEN,38
07/25/2023 04:55 AM,7/25/2023 12:50:30 AM,3,Reserva en Rotación,285
07/25/2023 04:55 AM,7/25/2023 12:50:30 AM,4,Reserva Operacional,318
