timestamp_saved,dataFechaActualizado,site_index,Type,Desc,SiteTotal,unit_index,Unit,MW,MVar,Cost,ParentId
07/25/2023 02:19 AM,7/24/2023 10:10:30 PM,0,Hidroelectricas,Dos Bocas,10,0,Hidro 1,0,0,0.0,0
07/25/2023 02:19 AM,7/24/2023 10:10:30 PM,0,Hidroelectricas,Dos Bocas,10,1,Hidro 2,5,2,9.35,0
07/25/2023 02:19 AM,7/24/2023 10:10:30 PM,0,Hidroelectricas,Dos Bocas,10,2,Hidro 3,5,2,9.35,0
07/25/2023 02:19 AM,7/24/2023 10:10:30 PM,1,Hidroelectricas,Caonillas,0,0,Hidro 1,0,0,0.0,1
07/25/2023 02:19 AM,7/24/2023 10:10:30 PM,1,Hidroelectricas,Caonillas,0,1,Hidro 2,0,0,0.0,1
07/25/2023 02:19 AM,7/24/2023 10:10:30 PM,2,Hidroelectricas,Garzas,0,0,Hidro 1,0,0,0.0,2
07/25/2023 02:19 AM,7/24/2023 10:10:30 PM,2,Hidroelectricas,Garzas,0,1,Hidro 2,0,0,0.0,2
07/25/2023 02:19 AM,7/24/2023 10:10:30 PM,2,Hidroelectricas,Garzas,0,2,Hidro 3,0,0,0.0,2
07/25/2023 02:19 AM,7/24/2023 10:10:30 PM,3,Hidroelectricas,Rio Blanco,0,0,Hidro 1,0,0,0.0,3
07/25/2023 02:19 AM,7/24/2023 10:10:30 PM,3,Hidroelectricas,Rio Blanco,0,1,Hidro 2,0,0,0.0,3
07/25/2023 02:19 AM,7/24/2023 10:10:30 PM,4,Hidroelectricas,Toro Negro,2,0,Hidro 1,1,1,0.0,4
